ZINC_ID,5R8T,5R81,5REZ,5RF7,5RGI,5RH3,6LU7_2,7BUY,Best
_R_-Bepridil,-3.88,-4.794,-4.68,-6.929,-3.841,-5.768,-5.514,-6.02,-6.929
_S_-Bepridil,-3.418,-6.366,-5.689,-6.837,-5.16,-5.951,-5.678,-5.09,-6.837
5R7Y_-_ligand,-5.085,-6.015,-5.465,-5.763,-5.626,-5.806,-6.022,-6.662,-6.662
5R7Z_-_minimized_lig,-5.212,-6.803,-5.489,-7.005,-5.91,-7.128,-5.966,-6.434,-7.128
5R80_-_ligand,-5.687,-6.211,-5.228,-5.427,-4.687,-5.167,-5.755,-6.012,-6.211
5R81_-_ligand,-5.486,-6.958,-6.106,-6.419,-5.161,-5.849,-6.613,-6.341,-6.958
5R83_-_ligand,-4.819,-5.705,-4.905,-6.214,-5.699,-4.822,-5.912,-5.767,-6.214
5R84_-_ligand,-4.82,-5.811,-5.28,-6.221,-4.981,-5.095,-5.785,-5.744,-6.221
5REB_-_ligand,-5.333,-5.871,-5.503,-6.229,-5.468,-4.259,-6.084,-5.581,-6.229
5REZ_-_ligand,-5.033,-6.359,-6.354,-6.83,-5.456,-6.901,-5.452,-5.947,-6.901
5RF1_-_ligand,-4.791,-5.328,-5.078,-5.789,-4.928,-5.364,-5.273,-5.948,-5.948
5RF6_-_ligand,-5.41,-6.052,-5.374,-6.432,-5.581,-5.528,-5.557,-6.068,-6.432
5RF7_-_ligand,-5.242,-5.86,-5.755,-7.169,-5.237,-5.608,-6.215,-5.065,-7.169
5RFE_-_ligand,-4.882,-6.56,-5.769,-6.298,-6.552,-5.355,-6.67,-6.855,-6.855
5RG1_-_ligand,-5.816,-5.945,-6.638,-6.961,-6.862,-5.448,-6.132,-5.821,-6.961
5RGH_-_ligand,-4.694,-5.118,-5.229,-5.839,-4.655,-4.697,-5.032,-5.622,-5.839
5RGI_-_ligand,-4.189,-4.66,-4.354,-5.536,-4.706,-5.061,-4.957,-4.919,-5.536
5RGU_-_ligand,-5.054,-7.234,-5.773,-7.519,-6.145,-6.113,-5.896,-6.902,-7.519
5RGV_-_ligand,-5.362,-6.719,-5.808,-7.005,-6.478,-6.841,-6.661,-6.324,-7.005
5RGW_-_ligand,-4.61,-6.229,-5.635,-6.339,-5.414,-5.984,-5.423,-6.15,-6.339
5RGX_-_ligand,-5.212,-6.145,-5.65,-6.543,-5.505,-6.697,-5.617,-6.734,-6.734
5RGY_-_ligand,0,0,0,-6.194,0,0,-5.733,0,-6.194
5RGZ_-_ligand,-5.154,-6.369,-5.787,-6.815,-5.356,-5.858,-6.194,-6.533,-6.815
5RH0_-_ligand,-3.261,-5.313,-5.5,-6.205,-5.605,-4.621,-5.711,-5.531,-6.205
5RH1_-_ligand,-4.867,-6.1,-5.587,-6.562,-6.08,-5.865,-5.905,-6.07,-6.562
5RH2_-_ligand,-4.803,-6.292,-5.644,-7.144,-5.949,-7.155,-5.86,-6.368,-7.155
5RH3_-_ligand,-4.639,-5.718,-5.919,-7.093,-5.462,-6.825,-5.712,-6.492,-7.093
5RH8_-_ligand,-4.69,-6.016,-5.413,-7.245,-6.044,-6.172,-5.814,-6.255,-7.245
6M2N_-_ligand,-5.447,-5.909,-5.746,-6.555,-5.954,-6.573,-6.029,-6.43,-6.573
Ebastine,-4.607,-6.751,-5.015,-6.029,-3.496,-3.833,-6.646,-5.751,-6.751
Lopinavir_2,-4.875,-8.948,-5.257,-8.653,-5.176,-7.227,-8.896,-4.419,-8.948
Nelfinavir_1,-5.699,-6.598,-5.796,-7.374,-6.847,-6.575,-6.514,-6.165,-7.374
Nelfinavir_2,-4.175,-4.196,-4.672,-5.454,-3.279,-5.265,-3.647,-4.396,-5.454
Pimozide,-5.952,-7.863,-7.708,-5.806,-5.911,-5.663,-5.999,-6.003,-7.863
