1EZQ_-_ligand-1FJS,-10.3292866
1F0R_-_ligand-1FJS,-10.3007078
1F0S_-_ligand-1FJS,-9.90688229
1FAX_-_ligand-1FJS,-9.84154987
1FJS_-_ligand-1FJS,-10.4431639
1G2L_-_ligand-1FJS,-10.0548401
1G2M_-_ligand-1FJS,-10.845952
1LPG_-_ligand-1FJS,-10.0102301
1LPZ_-_ligand-1FJS,-10.6162434
1MQ5_-_ligand-1FJS,-9.50492382
1NFU_-_ligand-1FJS,-10.4730997
1NFW_-_ligand-1FJS,-10.264307
1V3X_-_ligand-1FJS,-10.875515
1WU1_-_ligand-1FJS,-11.413187
1Z6E_-_ligand-1FJS,-10.9509172
2BMG_-_ligand-1FJS,-9.64505577
2BQW_-_ligand-1FJS,-10.2132549
2CJI_-_ligand-1FJS,-9.92134857
2J34_-_ligand-1FJS,-9.38319302
2J4I_-_ligand-1FJS,-8.98480606
2JKH_-_ligand-1FJS,-8.67553234
2P93_-_ligand-1FJS,-9.49532986
2P94_-_ligand-1FJS,-11.3872166
2PHB_-_ligand-1FJS,-11.3463478
2RA0_-_ligand-1FJS,-11.2510214
2VH0_-_ligand-1FJS,-8.47292995
2Y82_-_ligand-1FJS,-11.389452
3CEN_-_ligand-1FJS,-11.0372095
3ENS_-_ligand-1FJS,-9.3943367
3KL6_-_ligand-1FJS,-10.5813026
3LIW_-_ligand-1FJS,-10.7270927
3M37_-_ligand-1FJS,-10.9310064
3SW2_-_ligand-1FJS,-11.0573215
4A7I_-_ligand-1FJS,-8.04776859
4BTT_-_ligand-1FJS,-9.47201157
